,volatility_model,mean_model,dist,p,q,AIC_score,BIC_score,LL_score
0,ARCH,ConstantMean,normal,1,1,13246.030275203533,13263.311676291174,-6620.015137601767
1,ARCH,ConstantMean,studentst,1,1,12455.57059597965,12478.612464096504,-6223.785297989825
2,ARCH,ConstantMean,skewstudent,1,1,12455.97416886858,12484.776504014648,-6222.98708443429
3,ARCH,ConstantMean,normal,1,2,13246.030275203533,13263.311676291174,-6620.015137601767
4,ARCH,ConstantMean,studentst,1,2,12455.57059597965,12478.612464096504,-6223.785297989825
5,ARCH,ConstantMean,skewstudent,1,2,12455.97416886858,12484.776504014648,-6222.98708443429
6,ARCH,ConstantMean,normal,1,3,13246.030275203533,13263.311676291174,-6620.015137601767
7,ARCH,ConstantMean,studentst,1,3,12455.57059597965,12478.612464096504,-6223.785297989825
8,ARCH,ConstantMean,skewstudent,1,3,12455.97416886858,12484.776504014648,-6222.98708443429
9,ARCH,ConstantMean,normal,2,1,13096.420192075651,13119.462060192505,-6544.210096037826
10,ARCH,ConstantMean,studentst,2,1,12370.914152967367,12399.716488113434,-6180.4570764836835
11,ARCH,ConstantMean,skewstudent,2,1,12371.478768267636,12406.041570442916,-6179.739384133818
12,ARCH,ConstantMean,normal,2,2,13096.420192075651,13119.462060192505,-6544.210096037826
13,ARCH,ConstantMean,studentst,2,2,12370.914152967367,12399.716488113434,-6180.4570764836835
14,ARCH,ConstantMean,skewstudent,2,2,12371.478768267636,12406.041570442916,-6179.739384133818
15,ARCH,ConstantMean,normal,2,3,13096.420192075651,13119.462060192505,-6544.210096037826
16,ARCH,ConstantMean,studentst,2,3,12370.914152967367,12399.716488113434,-6180.4570764836835
17,ARCH,ConstantMean,skewstudent,2,3,12371.478768267636,12406.041570442916,-6179.739384133818
18,ARCH,ConstantMean,normal,3,1,13033.476276298574,13062.27861144464,-6511.738138149287
19,ARCH,ConstantMean,studentst,3,1,12311.828537391568,12346.391339566848,-6149.914268695784
20,ARCH,ConstantMean,skewstudent,3,1,12309.993998542763,12350.317267747256,-6147.996999271381
21,ARCH,ConstantMean,normal,3,2,13033.476276298574,13062.27861144464,-6511.738138149287
22,ARCH,ConstantMean,studentst,3,2,12311.828537391568,12346.391339566848,-6149.914268695784
23,ARCH,ConstantMean,skewstudent,3,2,12309.993998542763,12350.317267747256,-6147.996999271381
24,ARCH,ConstantMean,normal,3,3,13033.476276298574,13062.27861144464,-6511.738138149287
25,ARCH,ConstantMean,studentst,3,3,12311.828537391568,12346.391339566848,-6149.914268695784
26,ARCH,ConstantMean,skewstudent,3,3,12309.993998542763,12350.317267747256,-6147.996999271381
27,GARCH,ConstantMean,normal,1,1,12825.506844312033,12848.548712428887,-6408.753422156016
28,GARCH,ConstantMean,studentst,1,1,12145.478351178,12174.280686324068,-6067.739175589
29,GARCH,ConstantMean,skewstudent,1,1,12141.62969764762,12176.1924998229,-6064.81484882381
30,GARCH,ConstantMean,normal,1,2,12815.962464245986,12844.764799392053,-6402.981232122993
31,GARCH,ConstantMean,studentst,1,2,12142.090470079826,12176.653272255106,-6065.045235039913
32,GARCH,ConstantMean,skewstudent,1,2,12138.060404467253,12178.383673671746,-6062.030202233626
33,GARCH,ConstantMean,normal,1,3,12817.962463578377,12852.525265753657,-6402.981231789188
34,GARCH,ConstantMean,studentst,1,3,12142.95514408599,12183.278413290484,-6064.477572042995
35,GARCH,ConstantMean,skewstudent,1,3,12139.219754162954,12185.303490396662,-6061.609877081477
36,GARCH,ConstantMean,normal,2,1,12827.506844314448,12856.309179460515,-6408.753422157224
37,GARCH,ConstantMean,studentst,2,1,12147.478350813084,12182.041152988364,-6067.739175406542
38,GARCH,ConstantMean,skewstudent,2,1,12143.629697496623,12183.952966701116,-6064.814848748311
39,GARCH,ConstantMean,normal,2,2,12817.928255459616,12852.491057634896,-6402.964127729808
40,GARCH,ConstantMean,studentst,2,2,12144.090469380897,12184.41373858539,-6065.0452346904485
41,GARCH,ConstantMean,skewstudent,2,2,12140.060404652413,12186.144140886121,-6062.030202326207
42,GARCH,ConstantMean,normal,2,3,12823.021480306408,12863.344749510901,-6404.510740153204
43,GARCH,ConstantMean,studentst,2,3,12144.955144428108,12191.038880661816,-6064.477572214054
44,GARCH,ConstantMean,skewstudent,2,3,12141.219754042102,12193.063957305023,-6061.609877021051
45,GARCH,ConstantMean,normal,3,1,12829.506844349376,12864.069646524656,-6408.753422174688
46,GARCH,ConstantMean,studentst,3,1,12149.478350046356,12189.80161925085,-6067.739175023178
47,GARCH,ConstantMean,skewstudent,3,1,12145.629692451635,12191.713428685343,-6064.814846225818
48,GARCH,ConstantMean,normal,3,2,12819.928254965009,12860.251524169502,-6402.964127482504
49,GARCH,ConstantMean,studentst,3,2,12146.090469019446,12192.174205253154,-6065.045234509723
50,GARCH,ConstantMean,skewstudent,3,2,12142.060404500424,12193.904607763345,-6062.030202250212
51,GARCH,ConstantMean,normal,3,3,12821.911084062514,12867.994820296222,-6402.955542031257
52,GARCH,ConstantMean,studentst,3,3,12146.955144120615,12198.799347383536,-6064.4775720603075
53,GARCH,ConstantMean,skewstudent,3,3,12143.219753098847,12200.82442339098,-6061.6098765494235
54,EGARCH,ConstantMean,normal,1,1,12804.515043228006,12827.55691134486,-6398.257521614003
55,EGARCH,ConstantMean,studentst,1,1,12101.908883419888,12130.711218565955,-6045.954441709944
56,EGARCH,ConstantMean,skewstudent,1,1,12095.350600491316,12129.913402666596,-6041.675300245658
57,EGARCH,ConstantMean,normal,1,2,12798.3745086065,12827.176843752566,-6394.18725430325
58,EGARCH,ConstantMean,studentst,1,2,12099.820032001177,12134.382834176457,-6043.910016000588
59,EGARCH,ConstantMean,skewstudent,1,2,12093.276863589472,12133.600132793965,-6039.638431794736
60,EGARCH,ConstantMean,normal,1,3,12802.090657072811,12836.653459248091,-6395.045328536406
61,EGARCH,ConstantMean,studentst,1,3,12101.613135677966,12141.93640488246,-6043.806567838983
62,EGARCH,ConstantMean,skewstudent,1,3,12095.199346355881,12141.283082589589,-6039.5996731779405
63,EGARCH,ConstantMean,normal,2,1,12800.054628773029,12828.856963919096,-6395.027314386514
64,EGARCH,ConstantMean,studentst,2,1,12099.611280931065,12134.174083106345,-6043.805640465533
65,EGARCH,ConstantMean,skewstudent,2,1,12093.290603185986,12133.613872390479,-6039.645301592993
66,EGARCH,ConstantMean,normal,2,2,12798.78047363336,12833.34327580864,-6393.39023681668
67,EGARCH,ConstantMean,studentst,2,2,12101.606940487774,12141.930209692267,-6043.803470243887
68,EGARCH,ConstantMean,skewstudent,2,2,12095.222156456628,12141.305892690336,-6039.611078228314
69,EGARCH,ConstantMean,normal,2,3,12804.074752427292,12844.398021631785,-6395.037376213646
70,EGARCH,ConstantMean,studentst,2,3,12103.582028249646,12149.665764483354,-6043.791014124823
71,EGARCH,ConstantMean,skewstudent,2,3,12097.19863559102,12149.04283885394,-6039.59931779551
72,EGARCH,ConstantMean,normal,3,1,12801.87120102782,12836.4340032031,-6394.93560051391
73,EGARCH,ConstantMean,studentst,3,1,12101.611280473877,12141.93454967837,-6043.805640236938
74,EGARCH,ConstantMean,skewstudent,3,1,12095.257208356667,12141.340944590374,-6039.628604178333
75,EGARCH,ConstantMean,normal,3,2,12800.695590042844,12841.018859247337,-6393.347795021422
76,EGARCH,ConstantMean,studentst,3,2,12102.509410813916,12148.593147047624,-6043.254705406958
77,EGARCH,ConstantMean,skewstudent,3,2,12096.952270592388,12148.79647385531,-6039.476135296194
78,EGARCH,ConstantMean,normal,3,3,12805.871201280728,12851.954937514436,-6394.935600640364
79,EGARCH,ConstantMean,studentst,3,3,12105.400348163354,12157.244551426274,-6043.700174081677
80,EGARCH,ConstantMean,skewstudent,3,3,12098.951676071756,12156.55634636389,-6039.475838035878
